plane,angle_deg,kx,ky,kz,q,A_proj,force_factor
XY,71.5,0.317305,0.948324,0,0.82124,53295.3,97063.6
XZ,71.5,0.317305,0,0.948324,0.757759,32972.9,57958.4
YZ,71.5,0,0.317305,0.948324,0.90643,17721.6,33785.1
XY,72,0.309017,0.951057,0,0.823381,52730,96146.9
XZ,72,0.309017,0,0.951057,0.759833,32349,56928.8
YZ,72,0,0.309017,0.951057,0.90602,17496.1,33347.9
XY,72.5,0.300706,0.953717,0,0.825574,52160.7,95223.2
XZ,72.5,0.300706,0,0.953717,0.761997,31722.6,55895.2
YZ,72.5,0,0.300706,0.953717,0.905615,17269.2,32908.5
XY,73,0.292372,0.956305,0,0.827821,51587.4,94292.5
XZ,73,0.292372,0,0.956305,0.764258,31093.9,54857.6
YZ,73,0,0.292372,0.956305,0.905219,17041,32466.9
XY,73.5,0.284015,0.95882,0,0.830123,51010.1,93354.8
XZ,73.5,0.284015,0,0.95882,0.76662,30462.7,53816.1
YZ,73.5,0,0.284015,0.95882,0.904833,16811.6,32023.2
XY,74,0.275637,0.961262,0,0.832482,50429,92410.2
XZ,74,0.275637,0,0.961262,0.76909,29829.3,52770.7
YZ,74,0,0.275637,0.961262,0.904461,16580.8,31577.5
XY,74.5,0.267238,0.96363,0,0.834899,49844.1,91458.8
XZ,74.5,0.267238,0,0.96363,0.771673,29193.6,51721.5
YZ,74.5,0,0.267238,0.96363,0.904105,16348.8,31129.8
XY,75,0.258819,0.965926,0,0.837377,49255.3,90500.6
XZ,75,0.258819,0,0.965926,0.774377,28555.6,50668.4
YZ,75,0,0.258819,0.965926,0.903769,16115.5,30680.2
XY,75.5,0.25038,0.968148,0,0.839918,48662.8,89535.5
XZ,75.5,0.25038,0,0.968148,0.77721,27915.5,49611.7
YZ,75.5,0,0.25038,0.968148,0.903457,15881,30228.8
XY,76,0.241922,0.970296,0,0.842522,48066.6,88563.7
XZ,76,0.241922,0,0.970296,0.780178,27273.2,48551.2
YZ,76,0,0.241922,0.970296,0.903174,15645.3,29775.7
XY,76.5,0.233445,0.97237,0,0.845193,47466.7,87585.2
XZ,76.5,0.233445,0,0.97237,0.78329,26628.9,47487.1
YZ,76.5,0,0.233445,0.97237,0.902923,15408.4,29321
XY,77,0.224951,0.97437,0,0.847932,46863.2,86600
XZ,77,0.224951,0,0.97437,0.786556,25982.6,46419.3
YZ,77,0,0.224951,0.97437,0.902711,15170.3,28864.7
XY,77.5,0.21644,0.976296,0,0.85074,46256.2,85608.1
XZ,77.5,0.21644,0,0.976296,0.789986,25334.2,45347.9
YZ,77.5,0,0.21644,0.976296,0.902544,14931.1,28407
XY,78,0.207912,0.978148,0,0.853619,45645.6,84609.5
XZ,78,0.207912,0,0.978148,0.793589,24684,44272.9
YZ,78,0,0.207912,0.978148,0.902428,14690.7,27948
XY,78.5,0.199368,0.979925,0,0.856571,45031.5,83604.2
XZ,78.5,0.199368,0,0.979925,0.797378,24031.8,43194.3
YZ,78.5,0,0.199368,0.979925,0.902371,14449.2,27487.8
XY,79,0.190809,0.981627,0,0.859598,44414,82592.2
XZ,79,0.190809,0,0.981627,0.801365,23377.9,42112.1
YZ,79,0,0.190809,0.981627,0.902381,14206.6,27026.5
XY,79.5,0.182236,0.983255,0,0.862701,43793.2,81573.5
XZ,79.5,0.182236,0,0.983255,0.805563,22722.1,41026.2
YZ,79.5,0,0.182236,0.983255,0.902468,13963,26564.1
XY,80,0.173648,0.984808,0,0.86588,43169,80548.1
XZ,80,0.173648,0,0.984808,0.809986,22064.6,39936.7
YZ,80,0,0.173648,0.984808,0.90264,13718.2,26100.9
XY,80.5,0.165048,0.986286,0,0.869136,42541.5,79515.8
XZ,80.5,0.165048,0,0.986286,0.814648,21405.5,38843.4
YZ,80.5,0,0.165048,0.986286,0.90291,13472.5,25636.9
XY,81,0.156434,0.987688,0,0.872469,41910.7,78476.6
XZ,81,0.156434,0,0.987688,0.819566,20744.7,37746.3
YZ,81,0,0.156434,0.987688,0.903288,13225.7,25172.3
XY,81.5,0.147809,0.989016,0,0.875879,41276.8,77430.3
XZ,81.5,0.147809,0,0.989016,0.824755,20082.3,36645.3
YZ,81.5,0,0.147809,0.989016,0.903787,12977.9,24707.1
XY,82,0.139173,0.990268,0,0.879363,40639.7,76376.8
XZ,82,0.139173,0,0.990268,0.830231,19418.4,35540.2
YZ,82,0,0.139173,0.990268,0.904419,12729.1,24241.5
XY,82.5,0.130526,0.991445,0,0.882918,39999.6,75315.9
XZ,82.5,0.130526,0,0.991445,0.836009,18753,34430.7
YZ,82.5,0,0.130526,0.991445,0.905196,12479.3,23775.5
XY,83,0.121869,0.992546,0,0.886539,39356.4,74247.3
XZ,83,0.121869,0,0.992546,0.842105,18086.2,33316.7
YZ,83,0,0.121869,0.992546,0.906132,12228.6,23309.3
XY,83.5,0.113203,0.993572,0,0.890218,38710.2,73170.7
XZ,83.5,0.113203,0,0.993572,0.848528,17418,32197.7
YZ,83.5,0,0.113203,0.993572,0.907238,11976.9,22842.9
XY,84,0.104528,0.994522,0,0.893944,38061,72085.4
XZ,84,0.104528,0,0.994522,0.855286,16748.5,31073.3
YZ,84,0,0.104528,0.994522,0.908522,11724.4,22376.2
XY,84.5,0.0958458,0.995396,0,0.8977,37409,70991
XZ,84.5,0.0958458,0,0.995396,0.862377,16077.7,29942.8
YZ,84.5,0,0.0958458,0.995396,0.909989,11470.9,21909.3
XY,85,0.0871557,0.996195,0,0.901465,36754.1,69886.6
XZ,85,0.0871557,0,0.996195,0.869788,15405.7,28805.5
YZ,85,0,0.0871557,0.996195,0.91164,11216.6,21442.1
XY,85.5,0.0784591,0.996917,0,0.905208,36096.4,68771.1
XZ,85.5,0.0784591,0,0.996917,0.877488,14732.5,27660.2
YZ,85.5,0,0.0784591,0.996917,0.913465,10961.4,20974.3
XY,86,0.0697565,0.997564,0,0.908889,35435.9,67643.2
XZ,86,0.0697565,0,0.997564,0.885416,14058.2,26505.6
YZ,86,0,0.0697565,0.997564,0.915442,10705.4,20505.6
XY,86.5,0.0610485,0.998135,0,0.912452,34772.8,66501.3
XZ,86.5,0.0610485,0,0.998135,0.893476,13382.9,25340.1
YZ,86.5,0,0.0610485,0.998135,0.91753,10448.6,20035.5
XY,87,0.052336,0.99863,0,0.915824,34107,65343
XZ,87,0.052336,0,0.99863,0.901509,12706.5,24161.5
YZ,87,0,0.052336,0.99863,0.919666,10190.9,19563.2
XY,87.5,0.0436194,0.999048,0,0.91891,33438.6,64165.7
XZ,87.5,0.0436194,0,0.999048,0.909274,12029.1,22966.9
YZ,87.5,0,0.0436194,0.999048,0.92175,9932.54,19087.9
XY,88,0.0348995,0.999391,0,0.921584,32767.7,62965.8
XZ,88,0.0348995,0,0.999391,0.916413,11350.8,21752.9
YZ,88,0,0.0348995,0.999391,0.92364,9673.38,18608.1
XY,88.5,0.0261769,0.999657,0,0.923683,32094.2,61739.1
XZ,88.5,0.0261769,0,0.999657,0.922396,10671.7,20515.2
YZ,88.5,0,0.0261769,0.999657,0.925137,9413.49,18122.3
XY,89,0.0174524,0.999848,0,0.925006,31418.3,60480.5
XZ,89,0.0174524,0,0.999848,0.926467,9991.72,19248.7
YZ,89,0,0.0174524,0.999848,0.925977,9152.87,17628.2
XY,89.5,0.00872654,0.999962,0,0.925308,30740.1,59184.1
XZ,89.5,0.00872654,0,0.999962,0.927574,9311.01,17947.6
YZ,89.5,0,0.00872654,0.999962,0.925828,8891.57,17123.6
XY,90,6.12303e-017,1,0,0.924324,30059.5,57844.2
XZ,90,6.12303e-017,0,1,0.924324,8629.58,16606.1
YZ,90,0,6.12303e-017,1,0.924324,8629.58,16606.1
XY,90.5,-0.00872654,0.999962,0,0.925064,30743.7,59183.5
XZ,90.5,-0.00872654,0,0.999962,0.926765,9314.6,17947
YZ,90.5,0,-0.00872654,0.999962,0.925607,8852.01,17045.5
XY,91,-0.0174524,0.999848,0,0.924035,31425.5,60463.8
XZ,91,-0.0174524,0,0.999848,0.923417,9998.91,19232.1
YZ,91,0,-0.0174524,0.999848,0.92574,9073.77,17473.7
XY,91.5,-0.0261769,0.999657,0,0.921525,32105,61690.6
XZ,91.5,-0.0261769,0,0.999657,0.915912,10682.5,20466.7
YZ,91.5,0,-0.0261769,0.999657,0.925024,9294.84,17892.8
XY,92,-0.0348995,0.999391,0,0.917785,32782,62868.9
XZ,92,-0.0348995,0,0.999391,0.905462,11365.2,21656
YZ,92,0,-0.0348995,0.999391,0.923734,9515.21,18304.7
XY,92.5,-0.0436194,0.999048,0,0.913031,33456.6,64003.4
XZ,92.5,-0.0436194,0,0.999048,0.892961,12047.1,22804.6
YZ,92.5,0,-0.0436194,0.999048,0.922094,9734.84,18711.3
XY,93,-0.052336,0.99863,0,0.907446,34128.5,65098.3
XZ,93,-0.052336,0,0.99863,0.879067,12728,23916.8
YZ,93,0,-0.052336,0.99863,0.920274,9953.74,19113.9
XY,93.5,-0.0610485,0.998135,0,0.901183,34797.9,66157.2
XZ,93.5,-0.0610485,0,0.998135,0.864265,13408,24996.1
YZ,93.5,0,-0.0610485,0.998135,0.918398,10171.9,19513.7
XY,94,-0.0697565,0.997564,0,0.894371,35464.7,67183.2
XZ,94,-0.0697565,0,0.997564,0.848915,14087,26045.6
YZ,94,0,-0.0697565,0.997564,0.916552,10389.2,19911.5
XY,94.5,-0.0784591,0.996917,0,0.887118,36128.7,68179.1
XZ,94.5,-0.0784591,0,0.996917,0.833282,14764.9,27068.2
YZ,94.5,0,-0.0784591,0.996917,0.914793,10605.8,20307.9
XY,95,-0.0871557,0.996195,0,0.879515,36790,69147.3
XZ,95,-0.0871557,0,0.996195,0.817565,15441.6,28066.2
YZ,95,0,-0.0871557,0.996195,0.913159,10821.6,20703.4
XY,95.5,-0.0958458,0.995396,0,0.871638,37448.4,70089.9
XZ,95.5,-0.0958458,0,0.995396,0.801909,16117.2,29041.8
YZ,95.5,0,-0.0958458,0.995396,0.911671,11036.5,21098.2
XY,96,-0.104528,0.994522,0,0.863554,38104.1,71009
XZ,96,-0.104528,0,0.994522,0.786423,16791.6,29996.9
YZ,96,0,-0.104528,0.994522,0.910339,11250.6,21492.5
XY,96.5,-0.113203,0.993572,0,0.855316,38756.8,71906.1
XZ,96.5,-0.113203,0,0.993572,0.771185,17464.7,30933.2
YZ,96.5,0,-0.113203,0.993572,0.909164,11463.9,21886.4
XY,97,-0.121869,0.992546,0,0.846971,39406.6,72782.8
XZ,97,-0.121869,0,0.992546,0.756254,18136.4,31852.2
YZ,97,0,-0.121869,0.992546,0.908144,11676.2,22279.9
XY,97.5,-0.130526,0.991445,0,0.838559,40053.3,73640.4
XZ,97.5,-0.130526,0,0.991445,0.741671,18806.8,32755.2
YZ,97.5,0,-0.130526,0.991445,0.907272,11887.7,22673.1
XY,98,-0.139173,0.990268,0,0.830114,40697.1,74480.3
XZ,98,-0.139173,0,0.990268,0.727463,19475.7,33643.6
YZ,98,0,-0.139173,0.990268,0.906538,12098.3,23065.8
XY,98.5,-0.147809,0.989016,0,0.821664,41337.7,75303.4
XZ,98.5,-0.147809,0,0.989016,0.713649,20143.2,34518.3
YZ,98.5,0,-0.147809,0.989016,0.905934,12307.9,23458.1
XY,99,-0.156434,0.987688,0,0.813233,41975.2,76110.7
XZ,99,-0.156434,0,0.987688,0.700241,20809.1,35380.5
YZ,99,0,-0.156434,0.987688,0.905448,12516.7,23849.8
XY,99.5,-0.165048,0.986286,0,0.804842,42609.4,76903.3
XZ,99.5,-0.165048,0,0.986286,0.687244,21473.4,36230.9
YZ,99.5,0,-0.165048,0.986286,0.905069,12724.4,24240.9
XY,100,-0.173648,0.984808,0,0.796509,43240.5,77681.9
XZ,100,-0.173648,0,0.984808,0.674659,22136.2,37070.5
YZ,100,0,-0.173648,0.984808,0.904788,12931.2,24631.2
XY,100.5,-0.182236,0.983255,0,0.788249,43868.2,78447.3
XZ,100.5,-0.182236,0,0.983255,0.662485,22797.2,37900
YZ,100.5,0,-0.182236,0.983255,0.904595,13137,25020.7
XY,101,-0.190809,0.981627,0,0.780073,44492.6,79200.1
XZ,101,-0.190809,0,0.981627,0.650716,23456.5,38719.9
YZ,101,0,-0.190809,0.981627,0.904481,13341.8,25409.3
XY,101.5,-0.199368,0.979925,0,0.771993,45113.6,79941
XZ,101.5,-0.199368,0,0.979925,0.639346,24113.9,39531.1
YZ,101.5,0,-0.199368,0.979925,0.904436,13545.6,25796.8
XY,102,-0.207912,0.978148,0,0.764017,45731.2,80670.6
XZ,102,-0.207912,0,0.978148,0.628367,24769.6,40334
YZ,102,0,-0.207912,0.978148,0.904453,13748.4,26183.2
XY,102.5,-0.21644,0.976296,0,0.756151,46345.3,81389.3
XZ,102.5,-0.21644,0,0.976296,0.61777,25423.4,41129.2
YZ,102.5,0,-0.21644,0.976296,0.904525,13950.1,26568.3
XY,103,-0.224951,0.97437,0,0.748403,46955.9,82097.7
XZ,103,-0.224951,0,0.97437,0.607544,26075.2,41917.1
YZ,103,0,-0.224951,0.97437,0.904646,14150.8,26952.2
XY,103.5,-0.233445,0.97237,0,0.740775,47562.8,82796.2
XZ,103.5,-0.233445,0,0.97237,0.597679,26725.1,42698.1
YZ,103.5,0,-0.233445,0.97237,0.904808,14350.3,27334.6
XY,104,-0.241922,0.970296,0,0.733273,48166.2,83485.2
XZ,104,-0.241922,0,0.970296,0.588165,27372.9,43472.7
YZ,104,0,-0.241922,0.970296,0.905007,14548.8,27715.6
XY,104.5,-0.25038,0.968148,0,0.725897,48765.9,84165
XZ,104.5,-0.25038,0,0.968148,0.57899,28018.6,44241.1
YZ,104.5,0,-0.25038,0.968148,0.905237,14746.2,28095
XY,105,-0.258819,0.965926,0,0.718652,49361.9,84835.9
XZ,105,-0.258819,0,0.965926,0.570143,28662.2,45003.8
YZ,105,0,-0.258819,0.965926,0.905495,14942.4,28472.7
XY,105.5,-0.267238,0.96363,0,0.711537,49954.1,85498.3
XZ,105.5,-0.267238,0,0.96363,0.561614,29303.6,45760.9
YZ,105.5,0,-0.267238,0.96363,0.905776,15137.6,28848.8
XY,106,-0.275637,0.961262,0,0.704553,50542.5,86152.4
XZ,106,-0.275637,0,0.961262,0.55339,29942.8,46512.9
YZ,106,0,-0.275637,0.961262,0.906077,15331.5,29223.1
XY,106.5,-0.284015,0.95882,0,0.6977,51127.1,86798.5
XZ,106.5,-0.284015,0,0.95882,0.545462,30579.7,47259.8
YZ,106.5,0,-0.284015,0.95882,0.906395,15524.3,29595.5
XY,107,-0.292372,0.956305,0,0.690979,51707.8,87436.8
XZ,107,-0.292372,0,0.956305,0.537819,31214.3,48001.9
YZ,107,0,-0.292372,0.956305,0.906727,15715.9,29966
XY,107.5,-0.300706,0.953717,0,0.684388,52284.5,88067.4
XZ,107.5,-0.300706,0,0.953717,0.53045,31846.5,48739.4
YZ,107.5,0,-0.300706,0.953717,0.907069,15906.3,30334.5
XY,108,-0.309017,0.951057,0,0.677927,52857.3,88690.7
XZ,108,-0.309017,0,0.951057,0.523345,32476.3,49472.5
YZ,108,0,-0.309017,0.951057,0.907421,16095.5,30701
XY,108.5,-0.317305,0.948324,0,0.671593,53426,89306.6
XZ,108.5,-0.317305,0,0.948324,0.516494,33103.6,50201.3
YZ,108.5,0,-0.317305,0.948324,0.90778,16283.5,31065.4
XY,109,-0.325568,0.945519,0,0.665387,53990.7,89915.4
XZ,109,-0.325568,0,0.945519,0.509888,33728.3,50926
YZ,109,0,-0.325568,0.945519,0.908143,16470.2,31427.6
XY,109.5,-0.333807,0.942641,0,0.659305,54551.2,90517.1
XZ,109.5,-0.333807,0,0.942641,0.503517,34350.5,51646.6
YZ,109.5,0,-0.333807,0.942641,0.908511,16655.7,31787.6
XY,110,-0.34202,0.939693,0,0.653346,55107.6,91112
XZ,110,-0.34202,0,0.939693,0.497372,34970.1,52363.3
YZ,110,0,-0.34202,0.939693,0.90888,16839.9,32145.4
XY,110.5,-0.350207,0.936672,0,0.647507,55659.8,91700
XZ,110.5,-0.350207,0,0.936672,0.491444,35587.1,53076.1
YZ,110.5,0,-0.350207,0.936672,0.90925,17022.9,32500.9
XY,111,-0.358368,0.93358,0,0.641788,56207.8,92281.3
XZ,111,-0.358368,0,0.93358,0.485726,36201.3,53785.2
YZ,111,0,-0.358368,0.93358,0.909621,17204.5,32854.1
XY,111.5,-0.366501,0.930418,0,0.636185,56751.5,92855.9
XZ,111.5,-0.366501,0,0.930418,0.480208,36812.7,54490.5
YZ,111.5,0,-0.366501,0.930418,0.909989,17384.8,33204.9
XY,112,-0.374607,0.927184,0,0.630696,57290.8,93424
XZ,112,-0.374607,0,0.927184,0.474884,37421.4,55192.2
YZ,112,0,-0.374607,0.927184,0.910356,17563.8,33553.2
XY,112.5,-0.382683,0.92388,0,0.625319,57825.8,93985.5
XZ,112.5,-0.382683,0,0.92388,0.469745,38027.2,55890.3
YZ,112.5,0,-0.382683,0.92388,0.91072,17741.5,33899
XY,113,-0.390731,0.920505,0,0.620051,58356.4,94540.4
XZ,113,-0.390731,0,0.920505,0.464783,38630.1,56584.8
YZ,113,0,-0.390731,0.920505,0.911081,17917.8,34242.4
XY,113.5,-0.398749,0.91706,0,0.61489,58882.6,95088.9
XZ,113.5,-0.398749,0,0.91706,0.459993,39230.1,57275.7
YZ,113.5,0,-0.398749,0.91706,0.911437,18092.8,34583.2
XY,114,-0.406737,0.913545,0,0.609833,59404.3,95631
XZ,114,-0.406737,0,0.913545,0.455368,39827.1,57963
YZ,114,0,-0.406737,0.913545,0.911789,18266.3,34921.4
XY,114.5,-0.414693,0.909961,0,0.604878,59921.4,96166.6
XZ,114.5,-0.414693,0,0.909961,0.4509,40421,58646.9
YZ,114.5,0,-0.414693,0.909961,0.912136,18438.5,35256.9
XY,115,-0.422618,0.906308,0,0.600022,60434,96695.7
XZ,115,-0.422618,0,0.906308,0.446583,41011.9,59327.1
YZ,115,0,-0.422618,0.906308,0.912477,18609.3,35589.8
XY,115.5,-0.430511,0.902585,0,0.595263,60942,97218.5
XZ,115.5,-0.430511,0,0.902585,0.442412,41599.7,60003.9
YZ,115.5,0,-0.430511,0.902585,0.912813,18778.6,35920
XY,116,-0.438371,0.898794,0,0.590599,61445.3,97734.8
XZ,116,-0.438371,0,0.898794,0.438381,42184.2,60677
YZ,116,0,-0.438371,0.898794,0.913143,18946.6,36247.5
XY,116.5,-0.446198,0.894934,0,0.586026,61943.9,98244.7
XZ,116.5,-0.446198,0,0.894934,0.434484,42765.6,61346.6
YZ,116.5,0,-0.446198,0.894934,0.913466,19113.1,36572.2
XY,117,-0.45399,0.891007,0,0.581542,62437.9,98748.1
XZ,117,-0.45399,0,0.891007,0.430716,43343.7,62012.6
YZ,117,0,-0.45399,0.891007,0.913783,19278.1,36894.1
XY,117.5,-0.461749,0.887011,0,0.577145,62927.1,99245.1
XZ,117.5,-0.461749,0,0.887011,0.427072,43918.5,62674.9
YZ,117.5,0,-0.461749,0.887011,0.914093,19441.6,37213.1
XY,118,-0.469472,0.882948,0,0.572833,63411.5,99735.6
XZ,118,-0.469472,0,0.882948,0.423547,44490,63333.6
YZ,118,0,-0.469472,0.882948,0.914397,19603.7,37529.3
XY,118.5,-0.477159,0.878817,0,0.568603,63891,100220
XZ,118.5,-0.477159,0,0.878817,0.420136,45058.1,63988.6
YZ,118.5,0,-0.477159,0.878817,0.914693,19764.3,37842.6
XY,119,-0.48481,0.87462,0,0.564453,64365.7,100697
XZ,119,-0.48481,0,0.87462,0.416834,45622.7,64639.8
YZ,119,0,-0.48481,0.87462,0.914983,19923.4,38153
XY,119.5,-0.492424,0.870356,0,0.56038,64835.5,101168
XZ,119.5,-0.492424,0,0.870356,0.413638,46183.9,65287.3
YZ,119.5,0,-0.492424,0.870356,0.915266,20081,38460.4
XY,120,-0.5,0.866025,0,0.556383,65300.4,101632
XZ,120,-0.5,0,0.866025,0.410543,46741.6,65931
YZ,120,0,-0.5,0.866025,0.915541,20237,38764.8
XY,120.5,-0.507538,0.861629,0,0.552459,65760.3,102090
XZ,120.5,-0.507538,0,0.861629,0.407545,47295.7,66570.7
YZ,120.5,0,-0.507538,0.861629,0.91581,20391.5,39066.2
XY,121,-0.515038,0.857167,0,0.548606,66215.1,102541
XZ,121,-0.515038,0,0.857167,0.40464,47846.1,67206.6
YZ,121,0,-0.515038,0.857167,0.916071,20544.4,39364.6
XY,121.5,-0.522499,0.85264,0,0.544823,66665,102986
XZ,121.5,-0.522499,0,0.85264,0.401825,48393,67838.5
YZ,121.5,0,-0.522499,0.85264,0.916326,20695.8,39659.9
XY,122,-0.529919,0.848048,0,0.541106,67109.7,103423
XZ,122,-0.529919,0,0.848048,0.399096,48936.2,68466.4
YZ,122,0,-0.529919,0.848048,0.916573,20845.6,39952.2
XY,122.5,-0.5373,0.843391,0,0.537453,67549.4,103854
XZ,122.5,-0.5373,0,0.843391,0.39645,49475.6,69090.2
YZ,122.5,0,-0.5373,0.843391,0.916814,20993.8,40241.3
XY,123,-0.544639,0.838671,0,0.533864,67983.9,104278
XZ,123,-0.544639,0,0.838671,0.393883,50011.3,69709.9
YZ,123,0,-0.544639,0.838671,0.917047,21140.4,40527.2
XY,123.5,-0.551937,0.833886,0,0.530336,68413.2,104695
XZ,123.5,-0.551937,0,0.833886,0.391392,50543.1,70325.3
YZ,123.5,0,-0.551937,0.833886,0.917273,21285.5,40810
XY,124,-0.559193,0.829038,0,0.526867,68837.3,105105
XZ,124,-0.559193,0,0.829038,0.388975,51071.2,70936.6
YZ,124,0,-0.559193,0.829038,0.917493,21428.8,41089.6
XY,124.5,-0.566406,0.824126,0,0.523456,69256.2,105509
XZ,124.5,-0.566406,0,0.824126,0.386629,51595.3,71543.5
YZ,124.5,0,-0.566406,0.824126,0.917706,21570.6,41366
XY,125,-0.573576,0.819152,0,0.5201,69669.8,105905
XZ,125,-0.573576,0,0.819152,0.38435,52115.5,72146.1
YZ,125,0,-0.573576,0.819152,0.917912,21710.7,41639.2
XY,125.5,-0.580703,0.814116,0,0.516798,70078.1,106294
XZ,125.5,-0.580703,0,0.814116,0.382136,52631.7,72744.2
YZ,125.5,0,-0.580703,0.814116,0.918111,21849.2,41909.1
XY,126,-0.587785,0.809017,0,0.513548,70481.1,106677
XZ,126,-0.587785,0,0.809017,0.379985,53143.9,73337.8
YZ,126,0,-0.587785,0.809017,0.918304,21985.9,42175.7
XY,126.5,-0.594823,0.803857,0,0.510349,70878.7,107052
XZ,126.5,-0.594823,0,0.803857,0.377894,53652.1,73926.9
YZ,126.5,0,-0.594823,0.803857,0.91849,22121.1,42439.1
XY,127,-0.601815,0.798636,0,0.507199,71270.8,107419
XZ,127,-0.601815,0,0.798636,0.375861,54156.2,74511.4
YZ,127,0,-0.601815,0.798636,0.91867,22254.5,42699
XY,127.5,-0.608761,0.793353,0,0.504096,71657.6,107780
XZ,127.5,-0.608761,0,0.793353,0.373883,54656.1,75091.1
YZ,127.5,0,-0.608761,0.793353,0.918844,22386.2,42955.7
XY,128,-0.615661,0.788011,0,0.501039,72038.9,108133
XZ,128,-0.615661,0,0.788011,0.371958,55151.9,75666.2
YZ,128,0,-0.615661,0.788011,0.919011,22516.3,43209
XY,128.5,-0.622515,0.782608,0,0.498027,72414.7,108479
XZ,128.5,-0.622515,0,0.782608,0.370085,55643.5,76236.4
YZ,128.5,0,-0.622515,0.782608,0.919172,22644.6,43458.9
XY,129,-0.62932,0.777146,0,0.495058,72785.1,108818
XZ,129,-0.62932,0,0.777146,0.368262,56130.9,76801.8
YZ,129,0,-0.62932,0.777146,0.919327,22771.2,43705.4
XY,129.5,-0.636078,0.771625,0,0.49213,73149.8,109149
XZ,129.5,-0.636078,0,0.771625,0.366486,56614,77362.2
YZ,129.5,0,-0.636078,0.771625,0.919476,22896,43948.4
XY,130,-0.642788,0.766044,0,0.489242,73509,109473
XZ,130,-0.642788,0,0.766044,0.364755,57092.8,77917.6
YZ,130,0,-0.642788,0.766044,0.919619,23019.2,44188
XY,130.5,-0.649448,0.760406,0,0.486394,73862.6,109789
XZ,130.5,-0.649448,0,0.760406,0.363069,57567.2,78468
YZ,130.5,0,-0.649448,0.760406,0.919757,23140.5,44424.2
XY,131,-0.656059,0.75471,0,0.483583,74210.6,110098
XZ,131,-0.656059,0,0.75471,0.361424,58037.2,79013.3
YZ,131,0,-0.656059,0.75471,0.919888,23260.1,44656.9
XY,131.5,-0.66262,0.748956,0,0.480809,74552.9,110399
XZ,131.5,-0.66262,0,0.748956,0.35982,58502.9,79553.4
YZ,131.5,0,-0.66262,0.748956,0.920014,23378,44886
XY,132,-0.669131,0.743145,0,0.47807,74889.5,110692
XZ,132,-0.669131,0,0.743145,0.358255,58964,80088.2
YZ,132,0,-0.669131,0.743145,0.920135,23494,45111.7
XY,132.5,-0.67559,0.737277,0,0.475365,75220.5,110978
XZ,132.5,-0.67559,0,0.737277,0.356728,59420.7,80617.8
YZ,132.5,0,-0.67559,0.737277,0.92025,23608.3,45333.8
XY,133,-0.681998,0.731354,0,0.472693,75545.7,111256
XZ,133,-0.681998,0,0.731354,0.355237,59872.9,81141.9
YZ,133,0,-0.681998,0.731354,0.92036,23720.7,45552.4
XY,133.5,-0.688355,0.725374,0,0.470053,75865.1,111526
XZ,133.5,-0.688355,0,0.725374,0.353781,60320.5,81660.7
YZ,133.5,0,-0.688355,0.725374,0.920465,23831.4,45767.3
XY,134,-0.694658,0.71934,0,0.467444,76178.8,111788
XZ,134,-0.694658,0,0.71934,0.352358,60763.5,82173.9
YZ,134,0,-0.694658,0.71934,0.920564,23940.2,45978.8
XY,134.5,-0.700909,0.71325,0,0.464865,76486.7,112043
XZ,134.5,-0.700909,0,0.71325,0.350967,61201.8,82681.7
YZ,134.5,0,-0.700909,0.71325,0.920658,24047.3,46186.6
XY,135,-0.707107,0.707107,0,0.462314,76788.8,112289
XZ,135,-0.707107,0,0.707107,0.349607,61635.5,83183.8
YZ,135,0,-0.707107,0.707107,0.920748,24152.4,46390.8
XY,135.5,-0.71325,0.700909,0,0.459791,77085,112528
XZ,135.5,-0.71325,0,0.700909,0.348277,62064.6,83680.2
YZ,135.5,0,-0.71325,0.700909,0.920832,24255.8,46591.3
XY,136,-0.71934,0.694658,0,0.457295,77375.3,112759
XZ,136,-0.71934,0,0.694658,0.346976,62488.9,84171
YZ,136,0,-0.71934,0.694658,0.920912,24357.3,46788.2
XY,136.5,-0.725374,0.688355,0,0.454825,77659.7,112981
XZ,136.5,-0.725374,0,0.688355,0.345702,62908.4,84655.9
YZ,136.5,0,-0.725374,0.688355,0.920988,24456.9,46981.5
XY,137,-0.731354,0.681998,0,0.452379,77938.3,113196
XZ,137,-0.731354,0,0.681998,0.344455,63323.1,85135.1
YZ,137,0,-0.731354,0.681998,0.921058,24554.7,47171
XY,137.5,-0.737277,0.67559,0,0.449958,78210.9,113402
XZ,137.5,-0.737277,0,0.67559,0.343233,63733.1,85608.3
YZ,137.5,0,-0.737277,0.67559,0.921124,24650.6,47356.9
XY,138,-0.743145,0.669131,0,0.44756,78477.5,113601
XZ,138,-0.743145,0,0.669131,0.342036,64138.1,86075.7
YZ,138,0,-0.743145,0.669131,0.921186,24744.7,47539.1
XY,138.5,-0.748956,0.66262,0,0.445184,78738.2,113791
XZ,138.5,-0.748956,0,0.66262,0.340862,64538.3,86537
YZ,138.5,0,-0.748956,0.66262,0.921244,24836.8,47717.6
XY,139,-0.75471,0.656059,0,0.44283,78992.8,113973
XZ,139,-0.75471,0,0.656059,0.339712,64933.6,86992.3
YZ,139,0,-0.75471,0.656059,0.921297,24927.1,47892.3
XY,139.5,-0.760406,0.649448,0,0.440497,79241.5,114147
XZ,139.5,-0.760406,0,0.649448,0.338583,65323.9,87441.4
YZ,139.5,0,-0.760406,0.649448,0.921346,25015.4,48063.3
