sample,kx,ky,kz,q,A_proj,force_factor
98,-0.0988926,-0.145549,-0.984396,0.807582,19828.1,35840.9
99,-0.747642,0.016641,-0.663894,0.344951,64845.9,87214.5
100,0.3369,-0.740426,0.581608,0.805129,50240.1,90689.8
101,0.665325,0.697377,-0.266473,0.757441,75200.1,132160
102,0.788795,0.104161,-0.605766,0.710796,69891,119569
103,-0.954989,0.129077,0.267088,0.325284,81186.1,107595
104,-0.0794349,0.814207,-0.575115,0.883532,35589.1,67033.3
105,0.602557,-0.49969,-0.622282,0.749477,65106,113901
106,0.819325,0.37661,0.432286,0.726625,79060.4,136508
107,0.755363,-0.413071,-0.508723,0.730003,73869.9,127795
108,-0.788786,0.171733,-0.59019,0.368802,72114.3,98710.2
109,-0.832872,-0.17175,0.526142,0.354868,74335.3,100715
110,0.0928041,0.990442,0.102044,0.89814,37903,71945.2
111,0.889009,0.094452,-0.448041,0.703543,76091.1,129624
112,0.945134,0.287501,-0.155126,0.709279,83795.4,143230
113,-0.198235,0.428349,-0.881601,0.727546,35919.1,62051.9
114,0.486359,0.866307,-0.113877,0.786109,65002.7,116102
115,-0.871686,0.286846,-0.397345,0.371941,80450.2,110373
116,-0.283277,-0.957526,-0.0538374,0.67916,47146.9,79167.1
117,-0.76191,-0.508397,0.40128,0.418842,76278.4,108227
118,-0.170135,-0.276378,0.94587,0.727411,28579.3,49368.3
119,-0.562388,0.335773,0.75563,0.466381,60781.8,89129.2
120,0.519589,0.612072,0.59615,0.772555,64135.7,113684
121,0.127621,0.869178,-0.477747,0.882562,40147.9,75580.8
122,-0.339701,-0.938291,0.064904,0.634785,51190.8,83686
123,0.290457,0.808359,-0.512046,0.826424,51331.9,93753.8
124,-0.674677,0.456158,0.580285,0.451044,71706.1,104049
125,-0.694999,-0.707191,-0.129838,0.451227,73736,107008
126,-0.848579,0.389885,0.357634,0.393883,81450.2,113532
127,0.912112,-0.0155623,-0.409645,0.697213,75128.6,127509
128,-0.743688,-0.283474,-0.60545,0.392169,70776,98532.1
129,0.847262,0.528447,-0.0537746,0.730559,82532.6,142827
130,-0.75449,-0.538656,-0.37496,0.423549,76184.2,108452
131,-0.292174,0.319145,-0.901543,0.616463,40183.2,64954.6
132,0.659798,0.108725,-0.743536,0.7201,61118.5,105130
133,-0.0733402,0.882672,0.464231,0.889784,36298.6,68596.6
134,-0.398984,-0.813583,0.422959,0.59559,55753.1,88959.1
135,0.195512,-0.741974,0.641287,0.847496,39748.8,73435.7
136,-0.977065,-0.0245805,0.21152,0.299111,79187.8,102874
137,0.79812,0.58634,-0.138603,0.738343,81152.8,141071
138,-0.810178,0.585564,-0.0269492,0.42114,81458.6,115764
139,-0.924696,0.338442,0.174343,0.365011,84300,115070
140,-0.563037,-0.632299,-0.532153,0.497359,64871.4,97135.7
141,-0.00766484,0.840643,-0.541535,0.922696,30462.5,58570.2
142,-0.273474,0.095357,0.957141,0.582437,32603.7,51593.3
143,0.398,0.372795,-0.838224,0.773816,49406.2,87637.6
144,0.177534,-0.981295,-0.0744435,0.857753,39550.5,73475.1
145,-0.694632,-0.690126,-0.203011,0.45208,73891.9,107297
146,-0.801853,0.0274699,0.59689,0.337773,68951.1,92240.9
147,-0.072947,-0.372305,-0.925239,0.863251,23077.3,42998.8
148,-0.368707,0.845299,0.386685,0.637028,57703,94461.5
149,0.715808,0.1857,0.673153,0.721304,67313.1,115866
150,0.95682,0.131562,0.259205,0.699863,80942.5,137591
151,-0.698216,0.527908,0.483536,0.454597,74876.6,108915
152,-0.974062,0.222864,0.0391633,0.330525,83536.4,111147
153,0.552673,-0.757158,0.34823,0.766451,65510.4,115721
154,-0.373715,0.851461,-0.3679,0.633817,58063.8,94865.6
155,-0.298467,-0.68434,-0.665279,0.655446,46550.1,77061.2
156,0.316064,0.703575,0.636464,0.815692,51333.8,93206.3
157,-0.364228,-0.0227749,-0.931031,0.487226,37080,55146.4
158,-0.617765,-0.555493,0.556591,0.468683,67500.3,99136.5
159,0.0654655,0.469732,0.880379,0.897932,26831.6,50924.6
160,-0.699971,0.435768,0.565815,0.440285,72954.8,105076
161,-0.00462777,0.921398,0.388592,0.922206,31413.6,60383.3
162,-0.193281,0.981034,0.0146546,0.778235,44795.4,79656.7
163,0.733505,-0.380946,-0.562895,0.73003,71801.5,124219
164,-0.0483036,0.829507,0.556404,0.907796,33529.6,63967.7
165,0.225702,-0.806979,-0.54575,0.838643,42859.7,78803.8
166,-0.208993,0.734241,-0.645919,0.754108,43960.7,77111.9
167,-0.729309,0.256369,0.634336,0.399906,70457.6,98634
168,0.663583,-0.264746,0.699691,0.728682,64638.3,111739
169,0.711017,-0.357108,-0.605746,0.730473,69799.4,120786
170,-0.960627,0.195241,-0.197677,0.333962,82988.9,110704
171,-0.189277,-0.8132,-0.550345,0.765182,40289.8,71118.8
172,0.820292,-0.497974,0.281324,0.727937,79224.4,136895
173,0.0724474,0.997331,-0.00911417,0.907904,35716.4,68143.5
174,-0.557805,-0.747574,0.360537,0.509353,66002.6,99621.3
175,-0.623053,-0.568558,0.537166,0.468375,68081.4,99969.1
176,-0.437079,-0.798378,0.414191,0.572086,58281.1,91623
177,0.857093,-0.514115,-0.0328213,0.723457,80362,138501
178,0.270262,-0.187704,-0.944312,0.783302,33911.7,60474.9
179,-0.955455,-0.274629,-0.108092,0.337803,82964.8,110991
180,0.180199,-0.209987,-0.960954,0.818074,27585.6,50152.7
181,-0.962984,0.0012993,0.269557,0.29862,77994.3,101285
