wavelength_nm,irradiance_W_m2_nm
874.0,0.9712999999999999
876.0,0.964
878.0,0.9749
880.0,0.9554
882.0,0.9511000000000001
884.0,0.9579
886.0,0.9382999999999999
888.0,0.9442999999999999
890.0,0.953
892.0,0.9394
894.0,0.9332
896.0,0.9387000000000001
898.0,0.9339
900.0,0.9158
902.0,0.8916000000000001
904.0,0.9285
906.0,0.9176
908.0,0.9025
910.0,0.8916000000000001
912.0,0.8967
914.0,0.9071
916.0,0.9004
918.0,0.8951
920.0,0.8907999999999999
922.0,0.863
924.0,0.8585
926.0,0.8612000000000001
928.0,0.8769
930.0,0.8677
932.0,0.8651
934.0,0.8641
936.0,0.8547
938.0,0.858
940.0,0.8438
942.0,0.825
944.0,0.8324
946.0,0.8375
948.0,0.8407
950.0,0.8369
952.0,0.8317
954.0,0.808
956.0,0.8082
958.0,0.8188
960.0,0.8151
962.0,0.8089
964.0,0.8012999999999999
966.0,0.7947000000000001
968.0,0.7968999999999999
970.0,0.7958999999999999
972.0,0.7936
974.0,0.7815
976.0,0.7825
978.0,0.7778999999999999
980.0,0.7746000000000001
982.0,0.7764
984.0,0.7697999999999999
986.0,0.7661
988.0,0.7615
990.0,0.7541
992.0,0.7567
994.0,0.7556
996.0,0.7525
998.0,0.751
1000.0,0.7479
1002.0,0.7469
1004.0,0.7261
1006.0,0.7136
1008.0,0.7335
1010.0,0.7313
1012.0,0.7262000000000001
1014.0,0.721
1016.0,0.7139
1018.0,0.7107
1020.0,0.7041000000000001
1022.0,0.7021000000000001
1024.0,0.7054
1026.0,0.7027
1028.0,0.6989
1030.0,0.6937000000000001
1032.0,0.6905
1034.0,0.6817000000000001
1036.0,0.684
1038.0,0.6772
1040.0,0.6761
1042.0,0.6746
1044.0,0.6714
1046.0,0.66
1048.0,0.6644
1050.0,0.6622
1052.0,0.6586000000000001
1054.0,0.6548999999999999
1056.0,0.6557000000000001
1058.0,0.6451
1060.0,0.6415
1062.0,0.6437999999999999
1064.0,0.6459
1066.0,0.6395
1068.0,0.6317
1070.0,0.6241
1072.0,0.6326
1074.0,0.6276
1076.0,0.628
1078.0,0.6272000000000001
1080.0,0.6247
1082.0,0.6099
1084.0,0.618
1086.0,0.6207999999999999
1088.0,0.6103
1090.0,0.6199
1092.0,0.6159
1094.0,0.5849
1096.0,0.5982999999999999
1098.0,0.5961000000000001
1100.0,0.6042000000000001
1102.0,0.5932000000000001
1104.0,0.5973999999999999
1106.0,0.5945
1108.0,0.5916
1110.0,0.5906
1112.0,0.5842999999999999
1114.0,0.5844
1116.0,0.5831000000000001
1118.0,0.5815
1120.0,0.5741
1122.0,0.5796
1124.0,0.5769
1126.0,0.5655
1128.0,0.57
1130.0,0.5652999999999999
1132.0,0.5678
1134.0,0.5638
1136.0,0.5658
1138.0,0.5569
1140.0,0.553
1142.0,0.5531
1144.0,0.5514
1146.0,0.5548
1148.0,0.5525
1150.0,0.5488999999999999
1152.0,0.5458
1154.0,0.5478999999999999
1156.0,0.5455
1158.0,0.5435
1160.0,0.532
1162.0,0.5325
1164.0,0.5332
1166.0,0.5303
1168.0,0.5312
1170.0,0.5276000000000001
1172.0,0.5315
1174.0,0.5273
1176.0,0.5184
1178.0,0.519
1180.0,0.5239
1182.0,0.5159
1184.0,0.5103
1186.0,0.5187
1188.0,0.5075
1190.0,0.5085
1192.0,0.5161
1194.0,0.5145
1196.0,0.5084
1198.0,0.4943
1200.0,0.5003
1202.0,0.5068
1204.0,0.4948
1206.0,0.5039
1208.0,0.489
1210.0,0.48819999999999997
1212.0,0.4933
1214.0,0.4942
1216.0,0.493
1218.0,0.48969999999999997
1220.0,0.4875
1222.0,0.4854
1224.0,0.48460000000000003
1226.0,0.48169999999999996
1228.0,0.4771
1230.0,0.4792
1232.0,0.475
1234.0,0.4729
1236.0,0.4719
1238.0,0.4703
1240.0,0.4653
1242.0,0.4642
1244.0,0.4619
1246.0,0.4635
1248.0,0.4633
1250.0,0.4624
1252.0,0.4571
1254.0,0.4574
1256.0,0.4551
1258.0,0.45330000000000004
1260.0,0.453
1262.0,0.4497
1264.0,0.44780000000000003
1266.0,0.4467
1268.0,0.4417
1270.0,0.44530000000000003
1272.0,0.4452
1274.0,0.44310000000000005
1276.0,0.4451
1278.0,0.444
1280.0,0.43560000000000004
1282.0,0.4014
1284.0,0.4259
1286.0,0.4328
1288.0,0.43139999999999995
1290.0,0.4255
1292.0,0.4254
1294.0,0.4223
1296.0,0.4224
1298.0,0.4184
1300.0,0.4186
1302.0,0.4139
1304.0,0.4111
1306.0,0.4136
1308.0,0.4123
1310.0,0.4106
1312.0,0.4033
1314.0,0.4022
1316.0,0.3979
1318.0,0.4017
1320.0,0.4016
1322.0,0.3986
1324.0,0.3981
1326.0,0.3949
1328.0,0.39080000000000004
1330.0,0.38780000000000003
1332.0,0.38630000000000003
1334.0,0.3892
1336.0,0.3866
1338.0,0.3832
1340.0,0.379
1342.0,0.3805
1344.0,0.3798
1346.0,0.3772
1348.0,0.37660000000000005
1350.0,0.37239999999999995
1352.0,0.3742
1354.0,0.3722
1356.0,0.3675
1358.0,0.3688
1360.0,0.3673
1362.0,0.36769999999999997
1364.0,0.36569999999999997
1366.0,0.36569999999999997
1368.0,0.3628
1370.0,0.3599
1372.0,0.36210000000000003
1374.0,0.36110000000000003
1376.0,0.3561
1378.0,0.358
1380.0,0.3579
1382.0,0.3545
1384.0,0.3547
1386.0,0.3532
1388.0,0.353
1390.0,0.3506
1392.0,0.3513
1394.0,0.3488
1396.0,0.3487
1398.0,0.3492
1400.0,0.3427
1402.0,0.3439
1404.0,0.3428
1406.0,0.3431
1408.0,0.3427
1410.0,0.3418
1412.0,0.3348
1414.0,0.3377
1416.0,0.3385
1418.0,0.3386
1420.0,0.3357
1422.0,0.3315
1424.0,0.3311
1426.0,0.3281
1428.0,0.3285
1430.0,0.3257
1432.0,0.33
1434.0,0.32839999999999997
1436.0,0.3285
1438.0,0.32830000000000004
1440.0,0.31880000000000003
1442.0,0.31860000000000005
1444.0,0.3197
1446.0,0.3216
1448.0,0.3216
1450.0,0.3187
1452.0,0.31539999999999996
1454.0,0.3143
1456.0,0.31310000000000004
1458.0,0.3167
1460.0,0.31560000000000005
1462.0,0.31210000000000004
1464.0,0.3105
1466.0,0.3108
1468.0,0.31139999999999995
1470.0,0.3102
1472.0,0.3073
1474.0,0.3034
1476.0,0.3048
1478.0,0.3044
1480.0,0.3068
1482.0,0.3044
1484.0,0.3039
1486.0,0.3033
1488.0,0.2855
1490.0,0.3015
1492.0,0.3018
1494.0,0.3033
